dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
kdd_cup_2018/H/long,SLSQPEnsemble_4-models_opt-mae_1-windows,3275.781484725373,3275.781484725373,18.45587995517586,0.7750863279315907,0.7653154842158112,0.4692436759449007,11.029237524196848,57.23444316777593,1.3429512862094477,0.4330495127082008,0.3742525349824424,Nature,1
kdd_cup_2018/H/long,SLSQPEnsemble_4-models_opt-mae_1-windows,3275.783350412912,3275.783350412912,18.455899039076343,0.7750820742983229,0.765296609738798,0.4692475460350918,11.022203989204645,57.23445946641684,1.342951668641416,0.4330499604936125,0.3742450291390758,Nature,1
kdd_cup_2018/H/long,SLSQPEnsemble_4-models_opt-mae_1-windows,3275.7833504129117,3275.7833504129117,18.455899039076343,0.7750820742983229,0.765296609738798,0.46924754603509183,11.022203989204645,57.23445946641684,1.342951668641416,0.43304996049361255,0.3742450291390758,Nature,1
