dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/D/short,SLSQPEnsemble_4-models_opt-mae_1-windows,124299.7532427573,124299.7532427573,276.84226349059065,1.081358198082032,0.9905664119817474,0.4711459554853016,8.43569452184828,352.561701327239,0.5093315911437419,0.399942790236937,0.323053592301007,Energy,1
solar/D/short,SLSQPEnsemble_4-models_opt-mae_1-windows,133343.26997179573,133343.26997179573,260.310488528691,1.0160176419616842,1.1066154486535402,0.4356072484036506,4.54462030990887,365.1619777191976,0.5275346994206969,0.3760600054248701,0.2899432214713554,Energy,1
solar/D/short,SLSQPEnsemble_4-models_opt-mae_1-windows,133343.26997179573,133343.26997179573,260.310488528691,1.0160176419616842,1.1066154486535402,0.43560724840365067,4.54462030990887,365.1619777191976,0.5275346994206969,0.37606000542487017,0.2899432214713554,Energy,1
